Date,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
11/29/2011,120.05,121,119.61,120.05,199241500,94.59,0.002839993,95.975,95.1086
11/30/2011,123.49,125.22,120,124.99,324439500,98.48,0.041149471,96.07785714,95.1846
12/1/2011,124.85,125.64,124.43,124.97,176954800,98.46,-0.000159828,96.11428571,95.316
12/2/2011,126.12,126.5,124.78,124.86,221109700,98.37,-0.000880164,96.01285714,95.505
12/5/2011,126.84,127.18,125.44,126.22,225263900,99.45,0.010892193,96.05571429,95.7048
12/6/2011,126.21,127.11,125.76,126.26,178842100,99.48,0.000316695,96.06571429,95.8628
12/7/2011,125.84,127.26,124.97,126.73,237802500,99.85,0.003722439,96.215,96.0076
12/8/2011,125.9,126.18,123.65,123.95,240862800,97.66,-0.021936306,96.31857143,96.1464
12/9/2011,124.51,126.37,124.4,126.05,209111400,99.31,0.016942219,96.54714286,96.304
12/12/2011,124.95,124.97,123.16,124.21,215826100,97.86,-0.014597134,96.80285714,96.4782
12/13/2011,124.86,125.57,122.45,123.05,245159800,96.95,-0.009339082,97.02,96.685
12/14/2011,122.56,123.03,121.47,121.74,238618800,95.92,-0.01064611,97.31142857,96.8332
12/15/2011,123.03,123.2,121.99,122.18,199109200,96.26,0.003614305,97.64,96.9554
12/16/2011,122.23,122.95,121.3,121.59,220481400,96.41,0.001482315,97.78928571,97.048
12/19/2011,122.06,122.32,120.03,120.29,183903000,95.38,-0.010691565,97.84571429,97.1322
12/20/2011,122.18,124.14,120.37,123.93,225418100,98.26,0.030260307,97.83,97.2132
12/21/2011,123.93,124.36,122.75,124.17,194230900,98.45,0.001936361,97.82928571,97.296
12/22/2011,124.63,125.4,124.23,125.27,119465400,99.32,0.008858939,97.89714286,97.3796
12/23/2011,125.67,126.43,125.41,126.39,92187200,100.21,0.008940689,97.95142857,97.4848
12/27/2011,126.17,126.82,126.06,126.49,86075700,100.29,0.000791171,98.00928571,97.5592
12/28/2011,126.51,126.53,124.73,124.83,119107100,98.97,-0.013123415,97.94642857,97.644
12/29/2011,125.24,126.25,124.86,126.12,123507200,100,0.010333892,98.11357143,97.7124
12/30/2011,126.02,126.33,125.5,125.5,95599000,99.51,-0.004915881,98.12785714,97.7938
1/3/2012,127.76,128.38,127.43,127.5,193697900,101.09,0.015936392,98.35857143,97.8986
1/4/2012,127.2,127.81,126.71,127.7,127186500,101.25,0.001568716,98.66571429,97.9702
1/5/2012,127.01,128.23,126.43,128.04,173895000,101.52,0.0026624,99.06571429,98.0232
1/6/2012,128.2,128.22,127.29,127.71,148050000,101.26,-0.002577473,99.42285714,98.1094
1/9/2012,128,128.18,127.41,128.02,99530200,101.5,0.002427565,99.78642857,98.1808
1/10/2012,129.39,129.65,128.95,129.13,115282000,102.38,0.008670312,100.2864286,98.2014
1/11/2012,128.73,129.37,128.52,129.2,111540700,102.44,0.000542113,100.585,98.2238
1/12/2012,129.57,129.7,128.54,129.51,118983700,102.69,0.002399569,100.8878571,98.3
1/13/2012,128.64,129.05,127.72,128.84,179836200,102.15,-0.005173259,101.09,98.4206
1/17/2012,130.08,130.32,128.9,129.34,132209200,102.55,0.003880404,101.2571429,98.5178
1/18/2012,129.31,130.84,129.08,130.77,163395200,103.68,0.011056172,101.4992857,98.602
1/19/2012,131.22,131.57,130.8,131.46,126328900,104.23,0.005276541,101.875,98.7094
1/20/2012,131.24,131.95,130.92,131.95,138230200,104.62,0.003727091,102.205,98.8122
1/23/2012,131.51,132.25,130.98,131.61,129295800,104.35,-0.002576282,102.5507143,98.8842
1/24/2012,130.8,131.5,130.6,131.46,103083300,104.23,-0.001139905,102.775,99.028
1/25/2012,131.26,132.87,130.75,132.56,198613200,105.1,0.008367673,103.05,99.171
1/26/2012,133.15,133.4,131.36,131.88,184880500,104.56,-0.005129869,103.2671429,99.2664
1/27/2012,131.24,132.05,131.15,131.82,135259100,104.52,-0.000454708,103.5,99.3798
1/30/2012,130.51,131.44,130.06,131.37,147311800,104.16,-0.003413829,103.69,99.4762
1/31/2012,132.02,132.18,130.68,131.32,157212000,104.12,-0.000380589,103.8142857,99.6034
2/1/2012,132.29,133.14,132.13,132.47,166234500,105.03,0.008757253,103.9992857,99.7798
2/2/2012,132.73,133.02,132.21,132.68,113090400,105.2,0.00158526,104.1785714,99.9616
2/3/2012,134,134.62,133.77,134.54,160598500,106.67,0.014018628,104.5014286,100.2094
2/6/2012,133.98,134.51,133.83,134.45,107694500,106.6,-0.000669005,104.7907143,100.4632
2/7/2012,134.17,135.02,133.64,134.79,135528100,106.87,0.002528735,105.0185714,100.7638
2/8/2012,134.86,135.22,134.31,135.19,139361400,107.19,0.002967819,105.23,101.0744
2/9/2012,135.41,135.59,134.56,135.36,148602900,107.32,0.001257197,105.4228571,101.3344
2/10/2012,134.16,134.47,133.84,134.36,167907500,106.53,-0.0073877,105.5785714,101.5732
2/13/2012,135.32,135.52,134.74,135.36,115841900,107.32,0.007442684,105.7992857,101.75
2/14/2012,135,135.27,134.25,135.19,165329500,107.19,-0.001255619,105.9485714,101.9246
2/15/2012,135.63,135.83,134.29,134.56,195195100,106.69,-0.004660307,106.1007143,102.091
2/16/2012,134.57,136.17,134.33,136.05,186567800,107.87,0.011073347,106.34,102.2594
2/17/2012,136.52,136.63,135.96,136.41,129869400,108.16,0.002645825,106.6257143,102.433
2/21/2012,136.73,137.05,136.05,136.47,134042300,108.2,0.00043989,106.9171429,102.6
2/22/2012,136.26,136.55,135.79,136.03,124455300,107.86,-0.003224321,107.1192857,102.804
2/23/2012,135.96,136.73,135.5,136.63,137704300,108.33,0.004411184,107.3428571,102.9844
2/24/2012,136.93,137.2,136.63,136.93,105539100,108.57,0.002195272,107.4785714,103.1986
2/27/2012,136.02,137.53,135.8,137.16,145728900,108.75,0.001679793,107.6321429,103.4346
2/28/2012,137.2,137.72,136.93,137.56,129355900,109.07,0.002916398,107.7892857,103.6976
2/29/2012,137.76,138.19,136.54,137.02,185934700,108.64,-0.003925419,107.8928571,103.9452
3/1/2012,137.31,137.99,136.93,137.73,145023500,109.2,0.005181787,108.0271429,104.201
3/2/2012,137.64,137.82,137,137.31,120638300,108.87,-0.003049296,108.1942857,104.4708
3/5/2012,137.1,137.2,136.28,136.75,140765000,108.43,-0.004078817,108.2735714,104.6742
3/6/2012,135.35,135.43,134.36,134.75,202129900,106.84,-0.014625004,108.2485714,104.842
3/7/2012,135.06,135.91,134.93,135.69,143692200,107.59,0.006975619,108.3128571,105.0074
3/8/2012,136.52,137.32,136.24,137.04,116968900,108.66,0.009949253,108.3692857,105.1764
3/9/2012,137.3,137.93,137.13,137.57,122836800,109.08,0.00386743,108.435,105.3522
3/12/2012,137.55,137.76,137.09,137.58,104003500,109.08,7.27E-05,108.4978571,105.5544
3/13/2012,138.32,140.13,138.09,140.06,184090500,111.05,0.018025822,108.7257143,105.7754
3/14/2012,140.1,140.45,139.48,139.91,145163600,110.93,-0.001070859,108.9114286,106.0038
